[I 221224 16:43:59 DICE:205] {
      "resume": false,
      "env": "KuaishouEnv-v0",
      "is_softmax": true,
      "l2_reg_dnn": 0.1,
      "num_trajectory": 200,
      "force_length": 10,
      "epsilon": 0,
      "top_rate": 0.8,
      "feature_dim": 16,
      "entity_dim": 16,
      "user_model_name": "DICE",
      "dnn": [
        64,
        64
      ],
      "batch_size": 2048,
      "epoch": 200,
      "cuda": 5,
      "leave_threshold": 0.0,
      "num_leave_compute": 1,
      "message": "DICE"
    }
[I 221224 16:46:56 utils:48] Epoch: [-1], Info: [{'mae': 0.8785914872317051, 'mse': 1.2078729257602783, 'click_loss': 0.908758891416295, 'CV': '0.37601', 'CV_turn': '0.75135', 'ctr': 0.7855375639819955, 'len_tra': 8.325, 'R_tra': 6.5396002201501116, 'ifeat_feat': 0.7825825825825826, 'NX_0_click_loss': 0.884936656206735, 'NX_0_CV': '0.34806', 'NX_0_CV_turn': '0.79044', 'NX_0_ctr': 0.7713895530488454, 'NX_0_len_tra': 7.325, 'NX_0_R_tra': 5.650428476082792, 'NX_0_ifeat_feat': 0.8006825938566553, 'NX_10_click_loss': 0.8693174500234382, 'NX_10_CV': '0.44094', 'NX_10_CV_turn': '0.73350', 'NX_10_ctr': 0.7888969388140941, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.88896938814094, 'NX_10_ifeat_feat': 0.7785}]
[I 221224 16:54:04 utils:48] Epoch: [0], Info: [{'loss': 0.0006182764034166832, 'mae': 0.41683865333074144, 'mse': 0.3944343299495811, 'click_loss': 31.859392654257686, 'CV': '0.00451', 'CV_turn': '0.01351', 'ctr': 2.4129574132457603, 'len_tra': 5.55, 'R_tra': 13.39191364351397, 'ifeat_feat': 0.781981981981982, 'NX_0_click_loss': 33.844157559445705, 'NX_0_CV': '0.01172', 'NX_0_CV_turn': '0.02011', 'NX_0_ctr': 2.284394831963084, 'NX_0_len_tra': 9.695, 'NX_0_R_tra': 22.147207895882097, 'NX_0_ifeat_feat': 0.8004125838060856, 'NX_10_click_loss': 32.70013492052247, 'NX_10_CV': '0.00511', 'NX_10_CV_turn': '0.00850', 'NX_10_ctr': 2.4127015318124365, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.127015318124364, 'NX_10_ifeat_feat': 0.7435}]
[I 221224 17:00:55 utils:48] Epoch: [1], Info: [{'loss': 0.0006118137103038496, 'mae': 0.416252403215883, 'mse': 0.39414663245634257, 'click_loss': 31.67945390677547, 'CV': '0.00451', 'CV_turn': '0.01318', 'ctr': 2.558670159590177, 'len_tra': 5.69, 'R_tra': 14.558833208068107, 'ifeat_feat': 0.7882249560632689, 'NX_0_click_loss': 33.43095799915, 'NX_0_CV': '0.01112', 'NX_0_CV_turn': '0.01985', 'NX_0_ctr': 2.264286039522634, 'NX_0_len_tra': 9.32, 'NX_0_R_tra': 21.103145888350944, 'NX_0_ifeat_feat': 0.7923819742489271, 'NX_10_click_loss': 32.302730336776506, 'NX_10_CV': '0.00511', 'NX_10_CV_turn': '0.00850', 'NX_10_ctr': 2.3851159454495536, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.851159454495537, 'NX_10_ifeat_feat': 0.75}]
[I 221224 17:07:57 utils:48] Epoch: [2], Info: [{'loss': 0.0006118579933353419, 'mae': 0.4160407857070406, 'mse': 0.39445009621964705, 'click_loss': 31.45929024087734, 'CV': '0.00451', 'CV_turn': '0.01296', 'ctr': 2.45445032146642, 'len_tra': 5.785, 'R_tra': 14.198995109683242, 'ifeat_feat': 0.7994814174589455, 'NX_0_click_loss': 33.54984785814662, 'NX_0_CV': '0.01082', 'NX_0_CV_turn': '0.01840', 'NX_0_ctr': 2.337870306095393, 'NX_0_len_tra': 9.78, 'NX_0_R_tra': 22.864371593612944, 'NX_0_ifeat_feat': 0.7898773006134969, 'NX_10_click_loss': 32.176903508355124, 'NX_10_CV': '0.00511', 'NX_10_CV_turn': '0.00850', 'NX_10_ctr': 2.3651038305062917, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.651038305062915, 'NX_10_ifeat_feat': 0.7535}]
[I 221224 17:15:00 utils:48] Epoch: [3], Info: [{'loss': 0.0006118497611647892, 'mae': 0.41637202530960615, 'mse': 0.393995653089169, 'click_loss': 31.592746868099542, 'CV': '0.00421', 'CV_turn': '0.01304', 'ctr': 2.415401077200998, 'len_tra': 5.37, 'R_tra': 12.97070378456936, 'ifeat_feat': 0.8007448789571695, 'NX_0_click_loss': 33.61933580234489, 'NX_0_CV': '0.01082', 'NX_0_CV_turn': '0.01827', 'NX_0_ctr': 2.33134003112076, 'NX_0_len_tra': 9.85, 'NX_0_R_tra': 22.96369930653949, 'NX_0_ifeat_feat': 0.7984771573604061, 'NX_10_click_loss': 32.39297182705787, 'NX_10_CV': '0.00511', 'NX_10_CV_turn': '0.00850', 'NX_10_ctr': 2.395927927521762, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.959279275217618, 'NX_10_ifeat_feat': 0.744}]
[I 221224 17:21:50 utils:48] Epoch: [4], Info: [{'loss': 0.0006118617525054668, 'mae': 0.4156390713766829, 'mse': 0.3943689357149385, 'click_loss': 32.28701636895535, 'CV': '0.00481', 'CV_turn': '0.01481', 'ctr': 2.4989375592878114, 'len_tra': 5.4, 'R_tra': 13.494262820154182, 'ifeat_feat': 0.774074074074074, 'NX_0_click_loss': 34.15401508272851, 'NX_0_CV': '0.01022', 'NX_0_CV_turn': '0.01671', 'NX_0_ctr': 2.3149525489868266, 'NX_0_len_tra': 10.175, 'NX_0_R_tra': 23.55464218594096, 'NX_0_ifeat_feat': 0.7911547911547911, 'NX_10_click_loss': 33.00792522951132, 'NX_10_CV': '0.00511', 'NX_10_CV_turn': '0.00850', 'NX_10_ctr': 2.367065817318008, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.670658173180083, 'NX_10_ifeat_feat': 0.7595}]
[I 221224 17:28:56 utils:48] Epoch: [5], Info: [{'loss': 0.0006118581979663783, 'mae': 0.41847767689787807, 'mse': 0.39450542608064615, 'click_loss': 30.071624703941826, 'CV': '0.00451', 'CV_turn': '0.01227', 'ctr': 2.473474662920318, 'len_tra': 6.11, 'R_tra': 15.112930190443144, 'ifeat_feat': 0.7602291325695582, 'NX_0_click_loss': 32.03790835906378, 'NX_0_CV': '0.01022', 'NX_0_CV_turn': '0.01768', 'NX_0_ctr': 2.328750448069643, 'NX_0_len_tra': 9.615, 'NX_0_R_tra': 22.390935558189618, 'NX_0_ifeat_feat': 0.7961518460738429, 'NX_10_click_loss': 30.775130574224345, 'NX_10_CV': '0.00541', 'NX_10_CV_turn': '0.00900', 'NX_10_ctr': 2.398026412961865, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.98026412961865, 'NX_10_ifeat_feat': 0.758}]
[I 221224 17:35:48 utils:48] Epoch: [6], Info: [{'loss': 0.0006118479902358579, 'mae': 0.41594897813149506, 'mse': 0.39421722744912496, 'click_loss': 31.670060425398187, 'CV': '0.00421', 'CV_turn': '0.01170', 'ctr': 2.461450128152928, 'len_tra': 5.985, 'R_tra': 14.731779016995274, 'ifeat_feat': 0.7852965747702589, 'NX_0_click_loss': 33.55665365122138, 'NX_0_CV': '0.01022', 'NX_0_CV_turn': '0.01796', 'NX_0_ctr': 2.3391777832824476, 'NX_0_len_tra': 9.465, 'NX_0_R_tra': 22.140317718768365, 'NX_0_ifeat_feat': 0.7871104067617538, 'NX_10_click_loss': 32.47070935275786, 'NX_10_CV': '0.00601', 'NX_10_CV_turn': '0.01000', 'NX_10_ctr': 2.403685040738488, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.036850407384883, 'NX_10_ifeat_feat': 0.752}]
[I 221224 17:42:48 utils:48] Epoch: [7], Info: [{'loss': 0.0006118524863631126, 'mae': 0.4146783062662797, 'mse': 0.3945243164973707, 'click_loss': 33.77502320554011, 'CV': '0.00391', 'CV_turn': '0.01186', 'ctr': 2.534873926829751, 'len_tra': 5.48, 'R_tra': 13.891109119027035, 'ifeat_feat': 0.7627737226277372, 'NX_0_click_loss': 36.255147474711244, 'NX_0_CV': '0.01142', 'NX_0_CV_turn': '0.01845', 'NX_0_ctr': 2.316963957810721, 'NX_0_len_tra': 10.3, 'NX_0_R_tra': 23.864728765450423, 'NX_0_ifeat_feat': 0.7961165048543689, 'NX_10_click_loss': 34.57543761079189, 'NX_10_CV': '0.00511', 'NX_10_CV_turn': '0.00850', 'NX_10_ctr': 2.389153171705008, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.89153171705008, 'NX_10_ifeat_feat': 0.749}]
[I 221224 17:49:43 utils:48] Epoch: [8], Info: [{'loss': 0.0006118496771243162, 'mae': 0.412470831571816, 'mse': 0.39493878551477685, 'click_loss': 31.976230190614633, 'CV': '0.00451', 'CV_turn': '0.01268', 'ctr': 2.511885140534879, 'len_tra': 5.915, 'R_tra': 14.857800606263812, 'ifeat_feat': 0.7709213863060017, 'NX_0_click_loss': 33.859565163991704, 'NX_0_CV': '0.01052', 'NX_0_CV_turn': '0.01825', 'NX_0_ctr': 2.319745862263181, 'NX_0_len_tra': 9.59, 'NX_0_R_tra': 22.246362819103908, 'NX_0_ifeat_feat': 0.7877997914494265, 'NX_10_click_loss': 32.65446754854191, 'NX_10_CV': '0.00601', 'NX_10_CV_turn': '0.01000', 'NX_10_ctr': 2.3479624177741085, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.479624177741083, 'NX_10_ifeat_feat': 0.764}]
[I 221224 17:56:47 utils:48] Epoch: [9], Info: [{'loss': 0.0006118602071558538, 'mae': 0.41442551824527435, 'mse': 0.39456230516645224, 'click_loss': 33.37251725314537, 'CV': '0.00451', 'CV_turn': '0.01398', 'ctr': 2.384589970077814, 'len_tra': 5.365, 'R_tra': 12.793325189467474, 'ifeat_feat': 0.7781919850885368, 'NX_0_click_loss': 35.75322094245709, 'NX_0_CV': '0.00962', 'NX_0_CV_turn': '0.01455', 'NX_0_ctr': 2.280986528758462, 'NX_0_len_tra': 10.995, 'NX_0_R_tra': 25.079446883699287, 'NX_0_ifeat_feat': 0.7871759890859482, 'NX_10_click_loss': 34.30731724275791, 'NX_10_CV': '0.00481', 'NX_10_CV_turn': '0.00800', 'NX_10_ctr': 2.3984353724881626, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.984353724881625, 'NX_10_ifeat_feat': 0.7415}]
