[I 221225 13:34:03 DeepFM-IPS-pairwise:163] {
      "resume": false,
      "env": "KuaishouEnv-v0",
      "is_softmax": true,
      "num_trajectory": 200,
      "force_length": 10,
      "epsilon": 0,
      "top_rate": 0.8,
      "l2_reg_dnn": 0.1,
      "feature_dim": 16,
      "entity_dim": 16,
      "user_model_name": "DeepFM-IPS-pairwise",
      "dnn": [
        64,
        64
      ],
      "batch_size": 2048,
      "epoch": 200,
      "cuda": 1,
      "leave_threshold": 0.0,
      "num_leave_compute": 1,
      "message": "IPS1"
    }
[I 221225 13:35:29 utils:48] Epoch: [-1], Info: [{'mae': 0.8820643758102308, 'mse': 1.2130866519518617, 'click_loss': 1.8514799450820314, 'CV': '0.34325', 'CV_turn': '0.78112', 'ctr': 1.0133942653700805, 'len_tra': 7.31, 'R_tra': 7.407912079855289, 'ifeat_feat': 0.8228454172366622, 'NX_0_click_loss': 1.8236870980215707, 'NX_0_CV': '0.35317', 'NX_0_CV_turn': '0.77404', 'NX_0_ctr': 0.9858870764793383, 'NX_0_len_tra': 7.59, 'NX_0_R_tra': 7.482882910478178, 'NX_0_ifeat_feat': 0.8333333333333334, 'NX_10_click_loss': 1.8599826175327436, 'NX_10_CV': '0.43553', 'NX_10_CV_turn': '0.72450', 'NX_10_ctr': 1.014006854360829, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 10.14006854360829, 'NX_10_ifeat_feat': 0.8215}]
[I 221225 13:38:34 utils:48] Epoch: [0], Info: [{'loss': 1.1591647956102304e-06, 'mae': 0.8201782439067897, 'mse': 1.0986772295801217, 'click_loss': 6.999111958221283, 'CV': '0.18064', 'CV_turn': '0.41249', 'ctr': 1.6298053650901771, 'len_tra': 7.285, 'R_tra': 11.87313208468194, 'ifeat_feat': 0.8256691832532601, 'NX_0_click_loss': 7.000308237147366, 'NX_0_CV': '0.18275', 'NX_0_CV_turn': '0.45373', 'NX_0_ctr': 1.5477738519217115, 'NX_0_len_tra': 6.7, 'NX_0_R_tra': 10.370084807875466, 'NX_0_ifeat_feat': 0.835820895522388, 'NX_10_click_loss': 6.928219430742508, 'NX_10_CV': '0.21972', 'NX_10_CV_turn': '0.36550', 'NX_10_ctr': 1.54418881445908, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 15.4418881445908, 'NX_10_ifeat_feat': 0.8595}]
[I 221225 13:41:39 utils:48] Epoch: [1], Info: [{'loss': 8.944764841269411e-07, 'mae': 0.818321619388864, 'mse': 1.0947945969312736, 'click_loss': 7.327950441997294, 'CV': '0.16261', 'CV_turn': '0.39345', 'ctr': 1.6770972344957948, 'len_tra': 6.875, 'R_tra': 11.530043487158588, 'ifeat_feat': 0.8356363636363636, 'NX_0_click_loss': 7.317782611026915, 'NX_0_CV': '0.16982', 'NX_0_CV_turn': '0.37196', 'NX_0_ctr': 1.6539185666340384, 'NX_0_len_tra': 7.595, 'NX_0_R_tra': 12.561511513585522, 'NX_0_ifeat_feat': 0.8413429888084266, 'NX_10_click_loss': 7.304906824791625, 'NX_10_CV': '0.20048', 'NX_10_CV_turn': '0.33350', 'NX_10_ctr': 1.6545373352410375, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 16.545373352410376, 'NX_10_ifeat_feat': 0.8465}]
[I 221225 13:44:42 utils:48] Epoch: [2], Info: [{'loss': 8.957362665386301e-07, 'mae': 0.8061751463331416, 'mse': 1.0777129637005085, 'click_loss': 5.581844843524911, 'CV': '0.22513', 'CV_turn': '0.55236', 'ctr': 1.3956547925614582, 'len_tra': 6.78, 'R_tra': 9.462539493566686, 'ifeat_feat': 0.8517699115044248, 'NX_0_click_loss': 5.6381104104166395, 'NX_0_CV': '0.22152', 'NX_0_CV_turn': '0.58169', 'NX_0_ctr': 1.3913029161063455, 'NX_0_len_tra': 6.335, 'NX_0_R_tra': 8.813903973533698, 'NX_0_ifeat_feat': 0.8524072612470402, 'NX_10_click_loss': 5.613106248798568, 'NX_10_CV': '0.29185', 'NX_10_CV_turn': '0.48550', 'NX_10_ctr': 1.3620357577230529, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 13.620357577230529, 'NX_10_ifeat_feat': 0.859}]
[I 221225 13:47:52 utils:48] Epoch: [3], Info: [{'loss': 9.045997398327442e-07, 'mae': 0.8161751216924504, 'mse': 1.0923730281418014, 'click_loss': 6.77012378400112, 'CV': '0.18996', 'CV_turn': '0.44289', 'ctr': 1.5782388606690074, 'len_tra': 7.135, 'R_tra': 11.260734270873368, 'ifeat_feat': 0.8549404344779257, 'NX_0_click_loss': 6.786990486702907, 'NX_0_CV': '0.19447', 'NX_0_CV_turn': '0.43423', 'NX_0_ctr': 1.537634946843383, 'NX_0_len_tra': 7.45, 'NX_0_R_tra': 11.455380353983204, 'NX_0_ifeat_feat': 0.8644295302013423, 'NX_10_click_loss': 6.785659624075589, 'NX_10_CV': '0.23445', 'NX_10_CV_turn': '0.39000', 'NX_10_ctr': 1.5444927769657943, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 15.444927769657943, 'NX_10_ifeat_feat': 0.87}]
[I 221225 13:50:48 utils:48] Epoch: [4], Info: [{'loss': 8.948984295856777e-07, 'mae': 0.8202640980448291, 'mse': 1.0993555003596882, 'click_loss': 6.706229244232224, 'CV': '0.18665', 'CV_turn': '0.46622', 'ctr': 1.5831960090302526, 'len_tra': 6.66, 'R_tra': 10.544085420141482, 'ifeat_feat': 0.8701201201201201, 'NX_0_click_loss': 6.688025978370458, 'NX_0_CV': '0.20709', 'NX_0_CV_turn': '0.42822', 'NX_0_ctr': 1.536862828719914, 'NX_0_len_tra': 8.045, 'NX_0_R_tra': 12.364061457051708, 'NX_0_ifeat_feat': 0.858297078931013, 'NX_10_click_loss': 6.707736418522888, 'NX_10_CV': '0.23805', 'NX_10_CV_turn': '0.39600', 'NX_10_ctr': 1.5301635420694886, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 15.301635420694886, 'NX_10_ifeat_feat': 0.8575}]
[I 221225 13:53:43 utils:48] Epoch: [5], Info: [{'loss': 8.957166902016292e-07, 'mae': 0.821688751437933, 'mse': 1.1008015105034443, 'click_loss': 7.148134852233365, 'CV': '0.17824', 'CV_turn': '0.40868', 'ctr': 1.5889967296853043, 'len_tra': 7.255, 'R_tra': 11.528171273866883, 'ifeat_feat': 0.8518263266712612, 'NX_0_click_loss': 7.245504581723545, 'NX_0_CV': '0.18215', 'NX_0_CV_turn': '0.41967', 'NX_0_ctr': 1.5899711372053464, 'NX_0_len_tra': 7.22, 'NX_0_R_tra': 11.4795916106226, 'NX_0_ifeat_feat': 0.8614958448753463, 'NX_10_click_loss': 7.188247625095481, 'NX_10_CV': '0.20890', 'NX_10_CV_turn': '0.34750', 'NX_10_ctr': 1.6336901402302895, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 16.336901402302896, 'NX_10_ifeat_feat': 0.8425}]
[I 221225 13:56:39 utils:48] Epoch: [6], Info: [{'loss': 9.031569922376656e-07, 'mae': 0.8071936988566489, 'mse': 1.077451570998196, 'click_loss': 6.64704824404098, 'CV': '0.18004', 'CV_turn': '0.45482', 'ctr': 1.5431047959996202, 'len_tra': 6.585, 'R_tra': 10.1613450816575, 'ifeat_feat': 0.8572513287775246, 'NX_0_click_loss': 6.722714254879058, 'NX_0_CV': '0.20138', 'NX_0_CV_turn': '0.49229', 'NX_0_ctr': 1.456883311327916, 'NX_0_len_tra': 6.805, 'NX_0_R_tra': 9.914090933586468, 'NX_0_ifeat_feat': 0.8486407053637032, 'NX_10_click_loss': 6.721256723997405, 'NX_10_CV': '0.23264', 'NX_10_CV_turn': '0.38700', 'NX_10_ctr': 1.521332212207121, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 15.213322122071208, 'NX_10_ifeat_feat': 0.8535}]
[I 221225 13:59:33 utils:48] Epoch: [7], Info: [{'loss': 8.95794939612556e-07, 'mae': 0.8170386567136665, 'mse': 1.0943426124750282, 'click_loss': 6.530684405197065, 'CV': '0.18846', 'CV_turn': '0.48567', 'ctr': 1.4932007510714194, 'len_tra': 6.455, 'R_tra': 9.638610848166012, 'ifeat_feat': 0.855151045701007, 'NX_0_click_loss': 6.572624707520601, 'NX_0_CV': '0.19537', 'NX_0_CV_turn': '0.49618', 'NX_0_ctr': 1.5418188980773593, 'NX_0_len_tra': 6.55, 'NX_0_R_tra': 10.098913782406703, 'NX_0_ifeat_feat': 0.867175572519084, 'NX_10_click_loss': 6.478196903983161, 'NX_10_CV': '0.24136', 'NX_10_CV_turn': '0.40150', 'NX_10_ctr': 1.5109524341021014, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 15.109524341021014, 'NX_10_ifeat_feat': 0.86}]
[I 221225 14:02:27 utils:48] Epoch: [8], Info: [{'loss': 8.952448870818606e-07, 'mae': 0.8138576367540102, 'mse': 1.0861695674528915, 'click_loss': 7.66040207685771, 'CV': '0.14548', 'CV_turn': '0.30907', 'ctr': 1.8518819429330335, 'len_tra': 7.83, 'R_tra': 14.500235613165653, 'ifeat_feat': 0.8365261813537676, 'NX_0_click_loss': 7.797415541574116, 'NX_0_CV': '0.15990', 'NX_0_CV_turn': '0.32799', 'NX_0_ctr': 1.7844952242594074, 'NX_0_len_tra': 8.11, 'NX_0_R_tra': 14.472256268743795, 'NX_0_ifeat_feat': 0.842170160295931, 'NX_10_click_loss': 7.6035812733177055, 'NX_10_CV': '0.16892', 'NX_10_CV_turn': '0.28100', 'NX_10_ctr': 1.7241379760507378, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 17.241379760507378, 'NX_10_ifeat_feat': 0.838}]
[I 221225 14:05:18 utils:48] Epoch: [9], Info: [{'loss': 9.018802066362973e-07, 'mae': 0.8133799717945712, 'mse': 1.089320708605976, 'click_loss': 6.010612453966939, 'CV': '0.23865', 'CV_turn': '0.52409', 'ctr': 1.4115626864003343, 'len_tra': 7.575, 'R_tra': 10.692587349482533, 'ifeat_feat': 0.8402640264026403, 'NX_0_click_loss': 5.9831621263787245, 'NX_0_CV': '0.21611', 'NX_0_CV_turn': '0.55436', 'NX_0_ctr': 1.419413611368017, 'NX_0_len_tra': 6.485, 'NX_0_R_tra': 9.20489726972159, 'NX_0_ifeat_feat': 0.8596761757902853, 'NX_10_click_loss': 5.991789229079581, 'NX_10_CV': '0.26570', 'NX_10_CV_turn': '0.44200', 'NX_10_ctr': 1.4663339951480558, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 14.663339951480559, 'NX_10_ifeat_feat': 0.8565}]
