[I 221224 16:43:59 PD-pairwise:203] {
      "resume": false,
      "env": "KuaishouEnv-v0",
      "is_softmax": true,
      "l2_reg_dnn": 0.1,
      "num_trajectory": 200,
      "force_length": 10,
      "epsilon": 0,
      "top_rate": 0.8,
      "gamma": 0.1,
      "feature_dim": 16,
      "entity_dim": 16,
      "user_model_name": "PD-pairwise",
      "dnn": [
        64,
        64
      ],
      "batch_size": 2048,
      "epoch": 200,
      "cuda": 4,
      "leave_threshold": 0.0,
      "num_leave_compute": 1,
      "message": "PD"
    }
[I 221224 16:46:35 utils:48] Epoch: [-1], Info: [{'mae': 0.8820643758102307, 'mse': 1.2130866519518617, 'click_loss': 1.8623401038660516, 'CV': '0.34325', 'CV_turn': '0.78112', 'ctr': 1.0242423230046738, 'len_tra': 7.31, 'R_tra': 7.4872113811641645, 'ifeat_feat': 0.8228454172366622, 'NX_0_click_loss': 1.8397920282799727, 'NX_0_CV': '0.35317', 'NX_0_CV_turn': '0.77404', 'NX_0_ctr': 1.0019721556424614, 'NX_0_len_tra': 7.59, 'NX_0_R_tra': 7.604968661326283, 'NX_0_ifeat_feat': 0.8333333333333334, 'NX_10_click_loss': 1.8285711919085885, 'NX_10_CV': '0.43553', 'NX_10_CV_turn': '0.72450', 'NX_10_ctr': 0.9825901669280431, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.825901669280432, 'NX_10_ifeat_feat': 0.8215}]
[I 221224 16:51:29 utils:48] Epoch: [0], Info: [{'loss': 0.0003526995179197824, 'mae': 0.9786862374965697, 'mse': 1.201395166976778, 'click_loss': 55.603639073812005, 'CV': '0.00301', 'CV_turn': '0.01010', 'ctr': 2.4467514259714114, 'len_tra': 4.95, 'R_tra': 12.111419558558486, 'ifeat_feat': 0.794949494949495, 'NX_0_click_loss': 60.02532385941755, 'NX_0_CV': '0.00962', 'NX_0_CV_turn': '0.01551', 'NX_0_ctr': 2.3569109458903643, 'NX_0_len_tra': 10.315, 'NX_0_R_tra': 24.31153640685911, 'NX_0_ifeat_feat': 0.7954435288414929, 'NX_10_click_loss': 57.60547487732103, 'NX_10_CV': '0.00451', 'NX_10_CV_turn': '0.00750', 'NX_10_ctr': 2.4210657052629494, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.210657052629493, 'NX_10_ifeat_feat': 0.745}]
[I 221224 16:56:04 utils:48] Epoch: [1], Info: [{'loss': 0.00034057996038641865, 'mae': 0.9892900424095529, 'mse': 1.2237723948343777, 'click_loss': 56.0920764195859, 'CV': '0.00331', 'CV_turn': '0.01155', 'ctr': 2.5491522478496322, 'len_tra': 4.76, 'R_tra': 12.133964699764249, 'ifeat_feat': 0.819327731092437, 'NX_0_click_loss': 60.660049907652926, 'NX_0_CV': '0.00992', 'NX_0_CV_turn': '0.01508', 'NX_0_ctr': 2.3042851918649623, 'NX_0_len_tra': 10.945, 'NX_0_R_tra': 25.22040142496201, 'NX_0_ifeat_feat': 0.7957971676564641, 'NX_10_click_loss': 57.96669129400134, 'NX_10_CV': '0.00451', 'NX_10_CV_turn': '0.00750', 'NX_10_ctr': 2.376408897684793, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.76408897684793, 'NX_10_ifeat_feat': 0.749}]
[I 221224 17:00:48 utils:48] Epoch: [2], Info: [{'loss': 0.0003405980390913563, 'mae': 0.9882542880841529, 'mse': 1.2216332428693866, 'click_loss': 55.299223727903914, 'CV': '0.00331', 'CV_turn': '0.01103', 'ctr': 2.51205400645911, 'len_tra': 4.985, 'R_tra': 12.522589222198665, 'ifeat_feat': 0.8214643931795386, 'NX_0_click_loss': 59.464781251660575, 'NX_0_CV': '0.00902', 'NX_0_CV_turn': '0.01410', 'NX_0_ctr': 2.270733887848435, 'NX_0_len_tra': 10.635, 'NX_0_R_tra': 24.149254897268108, 'NX_0_ifeat_feat': 0.7912552891396333, 'NX_10_click_loss': 57.09912273697952, 'NX_10_CV': '0.00421', 'NX_10_CV_turn': '0.00700', 'NX_10_ctr': 2.3839328070173593, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.839328070173593, 'NX_10_ifeat_feat': 0.748}]
[I 221224 17:05:17 utils:48] Epoch: [3], Info: [{'loss': 0.00034060041870486607, 'mae': 0.9736882705877166, 'mse': 1.1902972054054064, 'click_loss': 53.89899714093445, 'CV': '0.00331', 'CV_turn': '0.01182', 'ctr': 2.5853366043128756, 'len_tra': 4.655, 'R_tra': 12.034741893076436, 'ifeat_feat': 0.8012889366272825, 'NX_0_click_loss': 57.81398986118199, 'NX_0_CV': '0.00932', 'NX_0_CV_turn': '0.01576', 'NX_0_ctr': 2.3734247451413943, 'NX_0_len_tra': 9.835, 'NX_0_R_tra': 23.342632368465615, 'NX_0_ifeat_feat': 0.7946110828673106, 'NX_10_click_loss': 55.71663500221195, 'NX_10_CV': '0.00451', 'NX_10_CV_turn': '0.00750', 'NX_10_ctr': 2.42622236068664, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.2622236068664, 'NX_10_ifeat_feat': 0.746}]
[I 221224 17:09:57 utils:48] Epoch: [4], Info: [{'loss': 0.0003405991329018011, 'mae': 0.9811796276162921, 'mse': 1.2065541664934265, 'click_loss': 53.588897320524076, 'CV': '0.00361', 'CV_turn': '0.01231', 'ctr': 2.4935090743301624, 'len_tra': 4.875, 'R_tra': 12.155856737359542, 'ifeat_feat': 0.8061538461538461, 'NX_0_click_loss': 57.931193395873194, 'NX_0_CV': '0.00932', 'NX_0_CV_turn': '0.01512', 'NX_0_ctr': 2.3907038120436845, 'NX_0_len_tra': 10.25, 'NX_0_R_tra': 24.50471407344777, 'NX_0_ifeat_feat': 0.7946341463414635, 'NX_10_click_loss': 55.3906369065263, 'NX_10_CV': '0.00421', 'NX_10_CV_turn': '0.00700', 'NX_10_ctr': 2.406292412660346, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.062924126603463, 'NX_10_ifeat_feat': 0.748}]
[I 221224 17:14:34 utils:48] Epoch: [5], Info: [{'loss': 0.00034059690362218026, 'mae': 0.9815116394622492, 'mse': 1.2070899828631731, 'click_loss': 52.36643035506272, 'CV': '0.00361', 'CV_turn': '0.01193', 'ctr': 2.4468880576082954, 'len_tra': 5.03, 'R_tra': 12.307846929769726, 'ifeat_feat': 0.7862823061630219, 'NX_0_click_loss': 56.714276831662595, 'NX_0_CV': '0.00992', 'NX_0_CV_turn': '0.01424', 'NX_0_ctr': 2.329594394381333, 'NX_0_len_tra': 11.59, 'NX_0_R_tra': 26.99999903087965, 'NX_0_ifeat_feat': 0.7916307161345988, 'NX_10_click_loss': 54.089356430380185, 'NX_10_CV': '0.00451', 'NX_10_CV_turn': '0.00750', 'NX_10_ctr': 2.3752254355834213, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.75225435583421, 'NX_10_ifeat_feat': 0.75}]
[I 221224 17:18:53 utils:48] Epoch: [6], Info: [{'loss': 0.0003405968367341832, 'mae': 0.9695455367469433, 'mse': 1.182958891517527, 'click_loss': 56.561733941587754, 'CV': '0.00331', 'CV_turn': '0.01042', 'ctr': 2.506057318763543, 'len_tra': 5.28, 'R_tra': 13.231982643071506, 'ifeat_feat': 0.7992424242424242, 'NX_0_click_loss': 61.09246188878114, 'NX_0_CV': '0.00962', 'NX_0_CV_turn': '0.01536', 'NX_0_ctr': 2.4004107755573982, 'NX_0_len_tra': 10.42, 'NX_0_R_tra': 25.01228028130809, 'NX_0_ifeat_feat': 0.79510556621881, 'NX_10_click_loss': 58.50733652393488, 'NX_10_CV': '0.00451', 'NX_10_CV_turn': '0.00750', 'NX_10_ctr': 2.405247939035044, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.05247939035044, 'NX_10_ifeat_feat': 0.745}]
[I 221224 17:23:23 utils:48] Epoch: [7], Info: [{'loss': 0.0003405945970612845, 'mae': 0.96913492729359, 'mse': 1.182082787546734, 'click_loss': 59.53455174143215, 'CV': '0.00361', 'CV_turn': '0.01220', 'ctr': 2.527161354742187, 'len_tra': 4.92, 'R_tra': 12.43363386533156, 'ifeat_feat': 0.790650406504065, 'NX_0_click_loss': 64.35139953769306, 'NX_0_CV': '0.00902', 'NX_0_CV_turn': '0.01330', 'NX_0_ctr': 2.311904344448448, 'NX_0_len_tra': 11.275, 'NX_0_R_tra': 26.066721483656252, 'NX_0_ifeat_feat': 0.7929046563192904, 'NX_10_click_loss': 61.57669714992194, 'NX_10_CV': '0.00421', 'NX_10_CV_turn': '0.00700', 'NX_10_ctr': 2.3905491396679923, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.90549139667992, 'NX_10_ifeat_feat': 0.7465}]
[I 221224 17:27:55 utils:48] Epoch: [8], Info: [{'loss': 0.00034059627464573744, 'mae': 0.9789217658903093, 'mse': 1.2016828414630067, 'click_loss': 57.00648969462196, 'CV': '0.00331', 'CV_turn': '0.01053', 'ctr': 2.500078984529147, 'len_tra': 5.225, 'R_tra': 13.062912694164792, 'ifeat_feat': 0.7885167464114833, 'NX_0_click_loss': 61.51677782650035, 'NX_0_CV': '0.00902', 'NX_0_CV_turn': '0.01395', 'NX_0_ctr': 2.3009341822473166, 'NX_0_len_tra': 10.75, 'NX_0_R_tra': 24.735042459158652, 'NX_0_ifeat_feat': 0.7976744186046512, 'NX_10_click_loss': 58.909828511823555, 'NX_10_CV': '0.00451', 'NX_10_CV_turn': '0.00750', 'NX_10_ctr': 2.3461327568187538, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.46132756818754, 'NX_10_ifeat_feat': 0.7525}]
[I 221224 17:32:28 utils:48] Epoch: [9], Info: [{'loss': 0.00034059232516684605, 'mae': 0.9806195198550129, 'mse': 1.2054583759878836, 'click_loss': 54.391388117586885, 'CV': '0.00361', 'CV_turn': '0.01233', 'ctr': 2.4250319165718413, 'len_tra': 4.865, 'R_tra': 11.797780274122008, 'ifeat_feat': 0.8016443987667009, 'NX_0_click_loss': 58.76391355583657, 'NX_0_CV': '0.00932', 'NX_0_CV_turn': '0.01378', 'NX_0_ctr': 2.317794034494945, 'NX_0_len_tra': 11.245, 'NX_0_R_tra': 26.063593917895655, 'NX_0_ifeat_feat': 0.7932414406402846, 'NX_10_click_loss': 56.244451035988355, 'NX_10_CV': '0.00421', 'NX_10_CV_turn': '0.00700', 'NX_10_ctr': 2.341638259422834, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.416382594228338, 'NX_10_ifeat_feat': 0.743}]
