[I 221224 16:43:58 CIRS-RL-kuaishou:142] {
      "env": "KuaishouEnv-v0",
      "user_model_name": "DeepFM",
      "model_name": "CIRS",
      "seed": 0,
      "cuda": 7,
      "is_ab": false,
      "cpu": false,
      "is_save": false,
      "version": "v1",
      "tau": 0.0,
      "gamma_exposure": 10,
      "r_decay": 1,
      "leave_threshold": 0,
      "num_leave_compute": 1,
      "max_turn": 30,
      "dim_state": 20,
      "dim_model": 32,
      "nhead": 4,
      "force_length": 10,
      "top_rate": 0.8,
      "buffer_size": 11000,
      "lr": 0.001,
      "gamma": 0.95,
      "epoch": 1000,
      "step_per_epoch": 15000,
      "repeat_per_collect": 2,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "vf_coef": 0.25,
      "ent_coef": 0.0,
      "eps_clip": 0.2,
      "max_grad_norm": 0.5,
      "gae_lambda": 0.95,
      "rew_norm": 1,
      "dual_clip": null,
      "value_clip": 1,
      "norm_adv": 1,
      "recompute_adv": 0,
      "resume": false,
      "save_interval": 1000,
      "read_message": "Pair1",
      "message": "K_CIRSwoCI_len30_r08"
    }
[I 221224 16:47:08 utils:134] Epoch: [1], Info: [{'num_test': 100, 'CV': '0.21912', 'CV_turn': '0.86786', 'ctr': '0.82785', 'len_tra': 8.4, 'R_tra': 6.953942895201233, 'ifeat_feat': 0.7904761904761904, 'NX_0_CV': '0.22152', 'NX_0_CV_turn': '0.89010', 'NX_0_ctr': '0.89300', 'NX_0_len_tra': 8.28, 'NX_0_R_tra': 7.3940205459696084, 'NX_0_ifeat_feat': 0.7717391304347826, 'NX_10_CV': '0.26270', 'NX_10_CV_turn': '0.87400', 'NX_10_ctr': '0.85622', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.562233059812215, 'NX_10_ifeat_feat': 0.794}]
[I 221224 16:48:14 utils:134] Epoch: [2], Info: [{'num_test': 100, 'CV': '0.24947', 'CV_turn': '0.84008', 'ctr': '0.85482', 'len_tra': 9.88, 'R_tra': 8.445639563157961, 'ifeat_feat': 0.7317813765182186, 'NX_0_CV': '0.24737', 'NX_0_CV_turn': '0.84845', 'NX_0_ctr': '0.87380', 'NX_0_len_tra': 9.7, 'NX_0_R_tra': 8.475826006270516, 'NX_0_ifeat_feat': 0.7402061855670103, 'NX_10_CV': '0.24767', 'NX_10_CV_turn': '0.82400', 'NX_10_ctr': '0.85706', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.5705573009184, 'NX_10_ifeat_feat': 0.733}]
[I 221224 16:49:11 utils:134] Epoch: [3], Info: [{'num_test': 100, 'CV': '0.23685', 'CV_turn': '0.75479', 'ctr': '0.85178', 'len_tra': 10.44, 'R_tra': 8.892627340229703, 'ifeat_feat': 0.6312260536398467, 'NX_0_CV': '0.26691', 'NX_0_CV_turn': '0.72019', 'NX_0_ctr': '0.84984', 'NX_0_len_tra': 12.33, 'NX_0_R_tra': 10.478542070828047, 'NX_0_ifeat_feat': 0.6682887266828873, 'NX_10_CV': '0.22693', 'NX_10_CV_turn': '0.75500', 'NX_10_ctr': '0.82827', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.282744126385278, 'NX_10_ifeat_feat': 0.613}]
[I 221224 16:50:05 utils:134] Epoch: [4], Info: [{'num_test': 100, 'CV': '0.19958', 'CV_turn': '0.40194', 'ctr': '0.77869', 'len_tra': 16.52, 'R_tra': 12.864036462133127, 'ifeat_feat': 0.4406779661016949, 'NX_0_CV': '0.19537', 'NX_0_CV_turn': '0.41454', 'NX_0_ctr': '0.80342', 'NX_0_len_tra': 15.68, 'NX_0_R_tra': 12.59764727326326, 'NX_0_ifeat_feat': 0.46811224489795916, 'NX_10_CV': '0.12834', 'NX_10_CV_turn': '0.42700', 'NX_10_ctr': '0.82724', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.272413877848093, 'NX_10_ifeat_feat': 0.402}]
[I 221224 16:50:50 utils:134] Epoch: [5], Info: [{'num_test': 100, 'CV': '0.13405', 'CV_turn': '0.30054', 'ctr': '0.80462', 'len_tra': 14.84, 'R_tra': 11.94061876202977, 'ifeat_feat': 0.3861185983827493, 'NX_0_CV': '0.16201', 'NX_0_CV_turn': '0.29978', 'NX_0_ctr': '0.83492', 'NX_0_len_tra': 17.98, 'NX_0_R_tra': 15.011844113821375, 'NX_0_ifeat_feat': 0.38765294771968856, 'NX_10_CV': '0.08266', 'NX_10_CV_turn': '0.27500', 'NX_10_ctr': '0.83186', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.318606988646, 'NX_10_ifeat_feat': 0.306}]
[I 221224 16:51:34 utils:134] Epoch: [6], Info: [{'num_test': 100, 'CV': '0.16141', 'CV_turn': '0.29392', 'ctr': '0.76753', 'len_tra': 18.27, 'R_tra': 14.022760798326852, 'ifeat_feat': 0.38697318007662834, 'NX_0_CV': '0.17163', 'NX_0_CV_turn': '0.29693', 'NX_0_ctr': '0.78108', 'NX_0_len_tra': 19.23, 'NX_0_R_tra': 15.020175466343387, 'NX_0_ifeat_feat': 0.39469578783151327, 'NX_10_CV': '0.08596', 'NX_10_CV_turn': '0.28600', 'NX_10_ctr': '0.79364', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.936373595234336, 'NX_10_ifeat_feat': 0.324}]
[I 221224 16:52:19 utils:134] Epoch: [7], Info: [{'num_test': 100, 'CV': '0.10881', 'CV_turn': '0.23190', 'ctr': '0.79073', 'len_tra': 15.61, 'R_tra': 12.343345955321045, 'ifeat_feat': 0.356181934657271, 'NX_0_CV': '0.16050', 'NX_0_CV_turn': '0.25910', 'NX_0_ctr': '0.81842', 'NX_0_len_tra': 20.61, 'NX_0_R_tra': 16.867626558506725, 'NX_0_ifeat_feat': 0.40562833575934015, 'NX_10_CV': '0.07184', 'NX_10_CV_turn': '0.23900', 'NX_10_ctr': '0.84879', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.487871286190664, 'NX_10_ifeat_feat': 0.344}]
[I 221224 16:53:04 utils:134] Epoch: [8], Info: [{'num_test': 100, 'CV': '0.12293', 'CV_turn': '0.21930', 'ctr': '0.84849', 'len_tra': 18.65, 'R_tra': 15.824253098958375, 'ifeat_feat': 0.38552278820375335, 'NX_0_CV': '0.14427', 'NX_0_CV_turn': '0.23033', 'NX_0_ctr': '0.84863', 'NX_0_len_tra': 20.84, 'NX_0_R_tra': 17.6854471168904, 'NX_0_ifeat_feat': 0.39539347408829173, 'NX_10_CV': '0.06763', 'NX_10_CV_turn': '0.22500', 'NX_10_ctr': '0.87087', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.70868791674765, 'NX_10_ifeat_feat': 0.354}]
[I 221224 16:53:49 utils:134] Epoch: [9], Info: [{'num_test': 100, 'CV': '0.11001', 'CV_turn': '0.20255', 'ctr': '0.84420', 'len_tra': 18.07, 'R_tra': 15.254747490410686, 'ifeat_feat': 0.3237410071942446, 'NX_0_CV': '0.13946', 'NX_0_CV_turn': '0.22723', 'NX_0_ctr': '0.83809', 'NX_0_len_tra': 20.42, 'NX_0_R_tra': 17.1138073640386, 'NX_0_ifeat_feat': 0.3746327130264447, 'NX_10_CV': '0.05981', 'NX_10_CV_turn': '0.19900', 'NX_10_ctr': '0.80644', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.06437340862192, 'NX_10_ifeat_feat': 0.315}]
[I 221224 16:54:35 utils:134] Epoch: [10], Info: [{'num_test': 100, 'CV': '0.12323', 'CV_turn': '0.23893', 'ctr': '0.83394', 'len_tra': 17.16, 'R_tra': 14.310474776945018, 'ifeat_feat': 0.40734265734265734, 'NX_0_CV': '0.15509', 'NX_0_CV_turn': '0.24677', 'NX_0_ctr': '0.80628', 'NX_0_len_tra': 20.91, 'NX_0_R_tra': 16.85930982105835, 'NX_0_ifeat_feat': 0.4232424677187948, 'NX_10_CV': '0.06733', 'NX_10_CV_turn': '0.22400', 'NX_10_ctr': '0.90962', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.096207045122945, 'NX_10_ifeat_feat': 0.403}]
[I 221224 16:55:16 utils:134] Epoch: [11], Info: [{'num_test': 100, 'CV': '0.07003', 'CV_turn': '0.14173', 'ctr': '0.84638', 'len_tra': 16.44, 'R_tra': 13.91450686510608, 'ifeat_feat': 0.3637469586374696, 'NX_0_CV': '0.11181', 'NX_0_CV_turn': '0.17424', 'NX_0_ctr': '0.82475', 'NX_0_len_tra': 21.35, 'NX_0_R_tra': 17.608353107476784, 'NX_0_ifeat_feat': 0.4, 'NX_10_CV': '0.05410', 'NX_10_CV_turn': '0.18000', 'NX_10_ctr': '0.80991', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.099061100156012, 'NX_10_ifeat_feat': 0.373}]
