[I 221224 14:18:30 CIRS-RL-kuaishou:142] {
      "env": "KuaishouEnv-v0",
      "user_model_name": "DeepFM",
      "model_name": "CIRS",
      "seed": 2023,
      "cuda": 0,
      "is_ab": false,
      "cpu": false,
      "is_save": false,
      "version": "v1",
      "tau": 0.0,
      "gamma_exposure": 10,
      "r_decay": 1,
      "leave_threshold": 0,
      "num_leave_compute": 3,
      "max_turn": 30,
      "dim_state": 20,
      "dim_model": 32,
      "nhead": 4,
      "force_length": 10,
      "top_rate": 0.6,
      "buffer_size": 11000,
      "lr": 0.001,
      "gamma": 0.95,
      "epoch": 1000,
      "step_per_epoch": 15000,
      "repeat_per_collect": 2,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "vf_coef": 0.25,
      "ent_coef": 0.0,
      "eps_clip": 0.2,
      "max_grad_norm": 0.5,
      "gae_lambda": 0.95,
      "rew_norm": 1,
      "dual_clip": null,
      "value_clip": 1,
      "norm_adv": 1,
      "recompute_adv": 0,
      "resume": false,
      "save_interval": 1000,
      "read_message": "Pair1",
      "message": "CIRS w_o CI-leave3"
    }
[I 221224 14:20:24 utils:134] Epoch: [1], Info: [{'num_test': 100, 'CV': '0.14007', 'CV_turn': '0.93200', 'ctr': '0.86749', 'len_tra': 5.0, 'R_tra': 4.337448797364831, 'ifeat_feat': 0.616, 'NX_0_CV': '0.12804', 'NX_0_CV_turn': '0.92609', 'NX_0_ctr': '0.89292', 'NX_0_len_tra': 4.6, 'NX_0_R_tra': 4.10741407388359, 'NX_0_ifeat_feat': 0.6347826086956522, 'NX_10_CV': '0.25669', 'NX_10_CV_turn': '0.85400', 'NX_10_ctr': '0.87030', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.703012237206792, 'NX_10_ifeat_feat': 0.622}]
[I 221224 14:21:02 utils:134] Epoch: [2], Info: [{'num_test': 100, 'CV': '0.13766', 'CV_turn': '0.54394', 'ctr': '0.80130', 'len_tra': 8.42, 'R_tra': 6.746905527666306, 'ifeat_feat': 0.2589073634204275, 'NX_0_CV': '0.13826', 'NX_0_CV_turn': '0.54374', 'NX_0_ctr': '0.84956', 'NX_0_len_tra': 8.46, 'NX_0_R_tra': 7.187267932875021, 'NX_0_ifeat_feat': 0.2718676122931442, 'NX_10_CV': '0.15059', 'NX_10_CV_turn': '0.50100', 'NX_10_ctr': '0.79762', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.976193529757449, 'NX_10_ifeat_feat': 0.267}]
[I 221224 14:21:41 utils:134] Epoch: [3], Info: [{'num_test': 100, 'CV': '0.08747', 'CV_turn': '0.28812', 'ctr': '0.88547', 'len_tra': 10.1, 'R_tra': 8.943247754615006, 'ifeat_feat': 0.16732673267326734, 'NX_0_CV': '0.10069', 'NX_0_CV_turn': '0.30427', 'NX_0_ctr': '0.90039', 'NX_0_len_tra': 11.01, 'NX_0_R_tra': 9.913275327343435, 'NX_0_ifeat_feat': 0.19255222524977295, 'NX_10_CV': '0.09949', 'NX_10_CV_turn': '0.33100', 'NX_10_ctr': '0.88850', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.885038507151597, 'NX_10_ifeat_feat': 0.197}]
[I 221224 14:22:15 utils:134] Epoch: [4], Info: [{'num_test': 100, 'CV': '0.08356', 'CV_turn': '0.28166', 'ctr': '0.83203', 'len_tra': 9.87, 'R_tra': 8.21212942427288, 'ifeat_feat': 0.24012158054711247, 'NX_0_CV': '0.08807', 'NX_0_CV_turn': '0.25237', 'NX_0_ctr': '0.86371', 'NX_0_len_tra': 11.61, 'NX_0_R_tra': 10.027665461887324, 'NX_0_ifeat_feat': 0.2222222222222222, 'NX_10_CV': '0.08055', 'NX_10_CV_turn': '0.26800', 'NX_10_ctr': '0.79614', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.961387999551173, 'NX_10_ifeat_feat': 0.218}]
[I 221224 14:22:51 utils:134] Epoch: [5], Info: [{'num_test': 100, 'CV': '0.07725', 'CV_turn': '0.26827', 'ctr': '0.85303', 'len_tra': 9.58, 'R_tra': 8.172000595745226, 'ifeat_feat': 0.19728601252609604, 'NX_0_CV': '0.09318', 'NX_0_CV_turn': '0.26293', 'NX_0_ctr': '0.81497', 'NX_0_len_tra': 11.79, 'NX_0_R_tra': 9.608546976518317, 'NX_0_ifeat_feat': 0.21374045801526717, 'NX_10_CV': '0.07665', 'NX_10_CV_turn': '0.25500', 'NX_10_ctr': '0.84566', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.456570350298554, 'NX_10_ifeat_feat': 0.19}]
[I 221224 14:23:24 utils:134] Epoch: [6], Info: [{'num_test': 100, 'CV': '0.05681', 'CV_turn': '0.18000', 'ctr': '0.87837', 'len_tra': 10.5, 'R_tra': 9.222869125874825, 'ifeat_feat': 0.21142857142857144, 'NX_0_CV': '0.08446', 'NX_0_CV_turn': '0.19901', 'NX_0_ctr': '0.82226', 'NX_0_len_tra': 14.12, 'NX_0_R_tra': 11.610373621429183, 'NX_0_ifeat_feat': 0.21458923512747877, 'NX_10_CV': '0.06222', 'NX_10_CV_turn': '0.20700', 'NX_10_ctr': '0.82703', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.270260630229917, 'NX_10_ifeat_feat': 0.228}]
[I 221224 14:23:58 utils:134] Epoch: [7], Info: [{'num_test': 100, 'CV': '0.08085', 'CV_turn': '0.25668', 'ctr': '0.81437', 'len_tra': 10.48, 'R_tra': 8.534643768247964, 'ifeat_feat': 0.20419847328244276, 'NX_0_CV': '0.10340', 'NX_0_CV_turn': '0.27410', 'NX_0_ctr': '0.89680', 'NX_0_len_tra': 12.55, 'NX_0_R_tra': 11.254860283962685, 'NX_0_ifeat_feat': 0.2199203187250996, 'NX_10_CV': '0.07755', 'NX_10_CV_turn': '0.25800', 'NX_10_ctr': '0.87048', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.704787768390931, 'NX_10_ifeat_feat': 0.191}]
[I 221224 14:24:30 utils:134] Epoch: [8], Info: [{'num_test': 100, 'CV': '0.06192', 'CV_turn': '0.20276', 'ctr': '0.89706', 'len_tra': 10.16, 'R_tra': 9.114110333867878, 'ifeat_feat': 0.18405511811023623, 'NX_0_CV': '0.08236', 'NX_0_CV_turn': '0.19530', 'NX_0_ctr': '0.87565', 'NX_0_len_tra': 14.03, 'NX_0_R_tra': 12.28537008613748, 'NX_0_ifeat_feat': 0.20099786172487527, 'NX_10_CV': '0.05500', 'NX_10_CV_turn': '0.18300', 'NX_10_ctr': '0.87711', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.771112851463409, 'NX_10_ifeat_feat': 0.191}]
[I 221224 14:25:05 utils:134] Epoch: [9], Info: [{'num_test': 100, 'CV': '0.06342', 'CV_turn': '0.21356', 'ctr': '0.90341', 'len_tra': 9.88, 'R_tra': 8.925670167595303, 'ifeat_feat': 0.2054655870445344, 'NX_0_CV': '0.08987', 'NX_0_CV_turn': '0.21012', 'NX_0_ctr': '0.91521', 'NX_0_len_tra': 14.23, 'NX_0_R_tra': 13.02350528233531, 'NX_0_ifeat_feat': 0.21433591004919184, 'NX_10_CV': '0.06673', 'NX_10_CV_turn': '0.22200', 'NX_10_ctr': '0.90301', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.030128753953912, 'NX_10_ifeat_feat': 0.227}]
[I 221224 14:25:37 utils:134] Epoch: [10], Info: [{'num_test': 100, 'CV': '0.06252', 'CV_turn': '0.19118', 'ctr': '0.86331', 'len_tra': 10.88, 'R_tra': 9.392794569189636, 'ifeat_feat': 0.1645220588235294, 'NX_0_CV': '0.08296', 'NX_0_CV_turn': '0.21445', 'NX_0_ctr': '0.88375', 'NX_0_len_tra': 12.87, 'NX_0_R_tra': 11.373912795108458, 'NX_0_ifeat_feat': 0.20745920745920746, 'NX_10_CV': '0.06432', 'NX_10_CV_turn': '0.21400', 'NX_10_ctr': '0.88990', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.898953439274235, 'NX_10_ifeat_feat': 0.186}]
[I 221224 14:26:12 utils:134] Epoch: [11], Info: [{'num_test': 100, 'CV': '0.06372', 'CV_turn': '0.18912', 'ctr': '0.87740', 'len_tra': 11.21, 'R_tra': 9.835640312892604, 'ifeat_feat': 0.2256913470115968, 'NX_0_CV': '0.08506', 'NX_0_CV_turn': '0.20901', 'NX_0_ctr': '0.87519', 'NX_0_len_tra': 13.54, 'NX_0_R_tra': 11.850032223233018, 'NX_0_ifeat_feat': 0.21344165435745938, 'NX_10_CV': '0.06673', 'NX_10_CV_turn': '0.22200', 'NX_10_ctr': '0.91329', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.132853743786724, 'NX_10_ifeat_feat': 0.208}]
