[I 221224 15:19:28 CIRS-RL-kuaishou:142] {
      "env": "KuaishouEnv-v0",
      "user_model_name": "DeepFM",
      "model_name": "CIRS",
      "seed": 2023,
      "cuda": 4,
      "is_ab": true,
      "cpu": false,
      "is_save": false,
      "version": "v1",
      "tau": 10.0,
      "gamma_exposure": 10.0,
      "r_decay": 1,
      "leave_threshold": 0,
      "num_leave_compute": 5,
      "max_turn": 30,
      "dim_state": 20,
      "dim_model": 32,
      "nhead": 4,
      "force_length": 10,
      "top_rate": 0.6,
      "buffer_size": 11000,
      "lr": 0.001,
      "gamma": 0.95,
      "epoch": 1000,
      "step_per_epoch": 15000,
      "repeat_per_collect": 2,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "vf_coef": 0.25,
      "ent_coef": 0.0,
      "eps_clip": 0.2,
      "max_grad_norm": 0.5,
      "gae_lambda": 0.95,
      "rew_norm": 1,
      "dual_clip": null,
      "value_clip": 1,
      "norm_adv": 1,
      "recompute_adv": 0,
      "resume": false,
      "save_interval": 1000,
      "read_message": "Pair11",
      "message": "CIRS-leave5"
    }
[I 221224 15:21:39 utils:134] Epoch: [1], Info: [{'num_test': 100, 'CV': '0.14157', 'CV_turn': '0.93638', 'ctr': '0.88316', 'len_tra': 5.03, 'R_tra': 4.442309826519295, 'ifeat_feat': 0.6043737574552683, 'NX_0_CV': '0.14518', 'NX_0_CV_turn': '0.92000', 'NX_0_ctr': '0.84061', 'NX_0_len_tra': 5.25, 'NX_0_R_tra': 4.413180400600852, 'NX_0_ifeat_feat': 0.5752380952380952, 'NX_10_CV': '0.26090', 'NX_10_CV_turn': '0.86800', 'NX_10_ctr': '0.82259', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.225941305402, 'NX_10_ifeat_feat': 0.556}]
[I 221224 15:22:13 utils:134] Epoch: [2], Info: [{'num_test': 100, 'CV': '0.12083', 'CV_turn': '0.54324', 'ctr': '0.80938', 'len_tra': 7.4, 'R_tra': 5.989389073110746, 'ifeat_feat': 0.22027027027027027, 'NX_0_CV': '0.12444', 'NX_0_CV_turn': '0.52141', 'NX_0_ctr': '0.82629', 'NX_0_len_tra': 7.94, 'NX_0_R_tra': 6.560773019612436, 'NX_0_ifeat_feat': 0.2141057934508816, 'NX_10_CV': '0.14758', 'NX_10_CV_turn': '0.49100', 'NX_10_ctr': '0.82180', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.218044758220321, 'NX_10_ifeat_feat': 0.203}]
[I 221224 15:22:46 utils:134] Epoch: [3], Info: [{'num_test': 100, 'CV': '0.09498', 'CV_turn': '0.38072', 'ctr': '0.82569', 'len_tra': 8.3, 'R_tra': 6.8532662551765995, 'ifeat_feat': 0.16265060240963855, 'NX_0_CV': '0.11452', 'NX_0_CV_turn': '0.38798', 'NX_0_ctr': '0.79375', 'NX_0_len_tra': 9.82, 'NX_0_R_tra': 7.794655778428065, 'NX_0_ifeat_feat': 0.18737270875763748, 'NX_10_CV': '0.11241', 'NX_10_CV_turn': '0.37400', 'NX_10_ctr': '0.81104', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.110399569639455, 'NX_10_ifeat_feat': 0.195}]
[I 221224 15:23:20 utils:134] Epoch: [4], Info: [{'num_test': 100, 'CV': '0.06162', 'CV_turn': '0.24818', 'ctr': '0.89882', 'len_tra': 8.26, 'R_tra': 7.4242171126521415, 'ifeat_feat': 0.2033898305084746, 'NX_0_CV': '0.08085', 'NX_0_CV_turn': '0.25643', 'NX_0_ctr': '0.89954', 'NX_0_len_tra': 10.49, 'NX_0_R_tra': 9.436198502126828, 'NX_0_ifeat_feat': 0.20686367969494757, 'NX_10_CV': '0.07935', 'NX_10_CV_turn': '0.26400', 'NX_10_ctr': '0.88577', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.857691171822854, 'NX_10_ifeat_feat': 0.203}]
[I 221224 15:23:55 utils:134] Epoch: [5], Info: [{'num_test': 100, 'CV': '0.06041', 'CV_turn': '0.24693', 'ctr': '0.86703', 'len_tra': 8.14, 'R_tra': 7.05766400519965, 'ifeat_feat': 0.14127764127764128, 'NX_0_CV': '0.08566', 'NX_0_CV_turn': '0.25288', 'NX_0_ctr': '0.89365', 'NX_0_len_tra': 11.27, 'NX_0_R_tra': 10.07141933865807, 'NX_0_ifeat_feat': 0.17213842058562556, 'NX_10_CV': '0.07244', 'NX_10_CV_turn': '0.24100', 'NX_10_ctr': '0.93263', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.326300723428867, 'NX_10_ifeat_feat': 0.158}]
[I 221224 15:24:29 utils:134] Epoch: [6], Info: [{'num_test': 100, 'CV': '0.07514', 'CV_turn': '0.27352', 'ctr': '0.92202', 'len_tra': 9.14, 'R_tra': 8.427266619017228, 'ifeat_feat': 0.19584245076586435, 'NX_0_CV': '0.08656', 'NX_0_CV_turn': '0.24658', 'NX_0_ctr': '0.93733', 'NX_0_len_tra': 11.68, 'NX_0_R_tra': 10.948026378747473, 'NX_0_ifeat_feat': 0.19863013698630136, 'NX_10_CV': '0.07635', 'NX_10_CV_turn': '0.25400', 'NX_10_ctr': '0.89368', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.936841442141308, 'NX_10_ifeat_feat': 0.173}]
[I 221224 15:25:04 utils:134] Epoch: [7], Info: [{'num_test': 100, 'CV': '0.05891', 'CV_turn': '0.24108', 'ctr': '0.99817', 'len_tra': 8.13, 'R_tra': 8.11512360564937, 'ifeat_feat': 0.16728167281672818, 'NX_0_CV': '0.07965', 'NX_0_CV_turn': '0.22534', 'NX_0_ctr': '0.95894', 'NX_0_len_tra': 11.76, 'NX_0_R_tra': 11.277180604006984, 'NX_0_ifeat_feat': 0.18537414965986396, 'NX_10_CV': '0.07304', 'NX_10_CV_turn': '0.24300', 'NX_10_ctr': '1.00321', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 10.032100079507495, 'NX_10_ifeat_feat': 0.173}]
[I 221224 15:25:38 utils:134] Epoch: [8], Info: [{'num_test': 100, 'CV': '0.08176', 'CV_turn': '0.30562', 'ctr': '0.88256', 'len_tra': 8.9, 'R_tra': 7.854804582012445, 'ifeat_feat': 0.21348314606741572, 'NX_0_CV': '0.09648', 'NX_0_CV_turn': '0.29585', 'NX_0_ctr': '0.92746', 'NX_0_len_tra': 10.85, 'NX_0_R_tra': 10.0629026718659, 'NX_0_ifeat_feat': 0.22857142857142856, 'NX_10_CV': '0.09348', 'NX_10_CV_turn': '0.31100', 'NX_10_ctr': '0.90016', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.001637836798796, 'NX_10_ifeat_feat': 0.227}]
[I 221224 15:26:13 utils:134] Epoch: [9], Info: [{'num_test': 100, 'CV': '0.04809', 'CV_turn': '0.18868', 'ctr': '0.98596', 'len_tra': 8.48, 'R_tra': 8.360919389269874, 'ifeat_feat': 0.20400943396226415, 'NX_0_CV': '0.06853', 'NX_0_CV_turn': '0.18138', 'NX_0_ctr': '0.94513', 'NX_0_len_tra': 12.57, 'NX_0_R_tra': 11.880285703239815, 'NX_0_ifeat_feat': 0.2052505966587112, 'NX_10_CV': '0.05801', 'NX_10_CV_turn': '0.19300', 'NX_10_ctr': '0.98572', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.857240487983637, 'NX_10_ifeat_feat': 0.209}]
[I 221224 15:26:45 utils:134] Epoch: [10], Info: [{'num_test': 100, 'CV': '0.06853', 'CV_turn': '0.26792', 'ctr': '0.93426', 'len_tra': 8.51, 'R_tra': 7.95054930483192, 'ifeat_feat': 0.209165687426557, 'NX_0_CV': '0.07965', 'NX_0_CV_turn': '0.26368', 'NX_0_ctr': '0.89782', 'NX_0_len_tra': 10.05, 'NX_0_R_tra': 9.02311280357842, 'NX_0_ifeat_feat': 0.2308457711442786, 'NX_10_CV': '0.08386', 'NX_10_CV_turn': '0.27900', 'NX_10_ctr': '0.93802', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.380241714036236, 'NX_10_ifeat_feat': 0.232}]
[I 221224 15:27:20 utils:134] Epoch: [11], Info: [{'num_test': 100, 'CV': '0.05380', 'CV_turn': '0.21803', 'ctr': '0.89286', 'len_tra': 8.21, 'R_tra': 7.330352367406342, 'ifeat_feat': 0.14372716199756394, 'NX_0_CV': '0.07514', 'NX_0_CV_turn': '0.21533', 'NX_0_ctr': '0.87796', 'NX_0_len_tra': 11.61, 'NX_0_R_tra': 10.193107945141282, 'NX_0_ifeat_feat': 0.19035314384151594, 'NX_10_CV': '0.06643', 'NX_10_CV_turn': '0.22100', 'NX_10_ctr': '0.90554', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.055449257826664, 'NX_10_ifeat_feat': 0.185}]
